202418837|MI3310|20241|Mười|8.0|7.0|6.0|6.0
202418837|MI3310|20251|10.0|10.0|8.5|9.0|9.0
202418915|MI3310|20251|10.0|8.0|8.0|8.0|8.5
202418957|MI3310|20251|10.0|8.0|7.0|7.0|7.5
202411223|MI3310|20251|9.0|9.0|7.0|8.0|7.0
202418837|ED3220|20251|10.0|10.0|9.0|9.0|9.5
202455667|ED3220|20251|10.0|8.0|7.0|8.0|7.0
202109876|ED3220|20251|9.0|9.0|8.0|8.0|8.5
202418915|MI1141|20241|10.0|9.0|8.0|7.0|7.5
202256789|IT3040|20241|8.0|8.0|6.0|7.0|6.0
202418957|IT3120|20241|10.0|0.0|8.0|8.0|8.5
202312345|ME2010|20241|7.0|7.0|5.0|5.0|5.5
202345678|EE2110|20241|6.0|6.0|4.0|4.0|4.5
202109876|CH1010|20241|10.0|10.0|9.0|8.0|8.0
202455667|FL1010|20252|10.0|9.0|8.0|8.0|8.5
